country,role,name
"Congo, Republic of the",Min. of Women Empowerment & Integration of Women in Development,Ines Bertille Nefer INGANI
"Congo, Republic of the",Min. of Youth & Civic Education,Destinee Ermela DOUKAGA
"Congo, Republic of the","Min.-Del. to the Minister of Interior, Decentralization & Local Development in charge of Decentralization & Local Development",Charles NGAMFOUMOU
"Congo, Republic of the",Min.-Del. to the Prime Min. in Charge of Relations with Parliament,Digne Elvis Tsalissan OKOMBI
"Congo, Republic of the",Min.-Del. to the Prime Min. in Charge of the Digital Economy & Planning,Benoit BATY
"Congo, Republic of the","Permanent Representative to the UN, New York",Raymond Serge BALE
"Congo, Republic of the",Pres.,Denis SASSOU-Nguesso
"Congo, Republic of the",Prime Min.,Clement MOUAMBA
Cook Islands,Attorney Gen.,Henry PUNA
Cook Islands,Dep. Prime Min.,Teariki HEATHER
Cook Islands,Min. of Agriculture,Kiriau TUREPU
Cook Islands,Min. of Cultural Development,Teariki HEATHER
Cook Islands,Min. of Education,Henry PUNA
Cook Islands,Min. of Environment Services,Henry PUNA
Cook Islands,Min. of Finance & Economic Management,Mark BROWN
Cook Islands,Min. of Foreign Affairs & Immigration,Henry PUNA
Cook Islands,Min. of Health,Nandi GLASSIE
Cook Islands,Min. of Infrastructure,Teariki HEATHER
Cook Islands,Min. of Internal Affairs,Albert NICHOLAS
Cook Islands,Min. of Justice,Nandi GLASSIE
Cook Islands,Min. of Marine Resources,Henry PUNA
Cook Islands,Min. of Transport,Henry PUNA
Cook Islands,Min. of Youth & Sport,Albert NICHOLAS
Cook Islands,Prime Min.,Henry PUNA
Costa Rica,Ambassador to the US,Roman MACAYA Hayes
Costa Rica,Attorney Gen.,Emilia NAVAS
Costa Rica,First Vice Pres.,Epsy CAMPBELL Barr
Costa Rica,Min. of Agriculture & Livestock,Renato ALVARADO Rivera
Costa Rica,Min. of Communication,Mauricio HERRERA Ulloa
Costa Rica,Min. of Culture & Youth,Sylvie DURAN Salvatierra
Costa Rica,"Min. of Economy, Industry, & Trade",Victoria HERNANDEZ Mora
Costa Rica,Min. of Education,Edgar MORA Altamirano
Costa Rica,Min. of Environment & Energy,Carlos Manuel RODRIGUEZ Echandi
Costa Rica,Min. of Finance,Rocio AGUILAR Montoyo
Costa Rica,Min. of Foreign Relations,Epsy CAMPBELL Barr
Costa Rica,Min. of Foreign Trade,Dyala JIMENEZ Figueres
Costa Rica,Min. of Health,Giselle AMADOR Munoz
Costa Rica,Min. of Housing,Maria CAMPOS
Costa Rica,Min. of Human Development & Social Inclusion,Emilio Arias RODRIGUEZ
Costa Rica,Min. of Justice,Marcia GONZALEZ Aguiluz
Costa Rica,Min. of Labor & Social Security,Steven NUNEZ Rimola
Costa Rica,Min. of Planning & Economic Policy,Pilar GARRIDO Gonzalo
Costa Rica,"Min. of Public Security, Govt., & Police",Michael SOTO Rojas
Costa Rica,Min. of Public Works & Transportation,Rodolfo MENDEZ Mata
Costa Rica,Min. of Science & Technology,Luis Adrian SALAZAR Solis
Costa Rica,Min. of Social Welfare,Maria FULMEN Salazar Elizondo
Costa Rica,Min. of Sports,Hernan SOLANO
Costa Rica,Min. of Tourism,Maria Amalia REVELO Raventos
Costa Rica,Min. of Women's Issues,Patricia MORA
Costa Rica,Min. of the Presidency,Rodolfo PIZA
Costa Rica,"Permanent Representative to the UN, New York",Rodrigo CARAZO Zeledon
Costa Rica,Pres.,Carlos ALVARADO Quesada
Costa Rica,"Pres., Central Bank",Rodrigo CUBERO
Costa Rica,Second Vice Pres.,Marvin RODRIGUEZ Cordero
Cote d'Ivoire,Ambassador to the US,Daouda DIABATE
Cote d'Ivoire,"Min of Youth Promotion, Youth Employment, & Civic Service",Sidi Tiemoko TOURE
Cote d'Ivoire,Min. in Charge of Presidential Affairs,Tene Birahima OUATTARA
Cote d'Ivoire,Min. of Agriculture & Rural Development,Mamadou Sangafoa COULIBALY
Cote d'Ivoire,Min. of Animal Husbandry & Fisheries,Kobena Kouassi ADJOUMANI
Cote d'Ivoire,Min. of Budget & State Investment,Amadou Gon COULIBALY
Cote d'Ivoire,Min. of Civil Service & Admin. Reform,Issa COULIBALY
Cote d'Ivoire,"Min. of Communication, Digital Economy, & Post & Govt. Spokesperson",Bruno Nabagne KONE
Cote d'Ivoire,"Min. of Construction, Housing, Sanitation, & Urban Affairs",Claude Isaac DE
Cote d'Ivoire,Min. of Culture & Francophone Affairs,Maurice Kouakou BANDAMA
Cote d'Ivoire,Min. of Defense,Alassane Dramane OUATTARA
Cote d'Ivoire,Min. of Economic Infrastructure,Amede Koffi KOUAKOU
Cote d'Ivoire,Min. of Economy & Finance,Adama KONE
Cote d'Ivoire,Min. of Employment & Social Protection,Jean Claude KOUASSI
Cote d'Ivoire,"Min. of Environment, Sustainable Development, & Hygiene",Anne Desiree OULOTO
Cote d'Ivoire,Min. of Foreign Affairs,Marcel AMON-TANOH
Cote d'Ivoire,Min. of Handicrafts & Promotion of Small & Medium-Sized Enterprises,Souleymane DIARRASSOUBA
Cote d'Ivoire,Min. of Health & Public Sanitation,Raymonde Goudou COFFIE
Cote d'Ivoire,Min. of Higher Education & Scientific Research,Ramata Ly-BAKAYOKO
Cote d'Ivoire,Min. of Industry & Mining,Jean-Claude BROU
Cote d'Ivoire,Min. of Interior & Security,Sidiki DIAKITE
Cote d'Ivoire,Min. of Justice & Human Rights & Keeper of the Seals,Sansan KAMBILE
Cote d'Ivoire,"Min. of National Education, Technical Education, & Professional Training",Kandia Kamissoko CAMARA
Cote d'Ivoire,"Min. of Oil, Energy, & the Development of Renewable Energies",Thierry TANOH
Cote d'Ivoire,Min. of Planning & Development,Niale KABA
Cote d'Ivoire,Min. of Public Service & Admin. Reform,Pascal Abinan KOUAKOU
Cote d'Ivoire,Min. of Sports & Leisure,Francois Albert AMICHIA
Cote d'Ivoire,Min. of Tourism,Siandou FOFANA
Cote d'Ivoire,Min. of Transport,Amadou KONE
Cote d'Ivoire,Min. of Water & Forestry,Alain Richard DONWAHI
Cote d'Ivoire,"Min. of Women, Family, & Child Protection",Mariatou KONE
Cote d'Ivoire,Min. to the Pres. of the Republic & Chief of Staff of the Presidency,Fidele SARASSORO
Cote d'Ivoire,Min. to the Pres. of the Republic in Charge of Defense,Hamed BAKAYOKO
Cote d'Ivoire,Min. to the Pres. of the Republic in Charge of Relations With Republican Institutions,Jeannot AHOUSSOU-KOUADIO
Cote d'Ivoire,"Permanent Representative to the UN, New York",Benard Tanoh BOUTCHOUE
Cote d'Ivoire,Pres.,Alassane Dramane OUATTARA
Cote d'Ivoire,Prime Min.,Amadou Gon COULIBALY
Cote d'Ivoire,Sec. Gen. of the Presidency of the Republic,Patrick ACHI
Cote d'Ivoire,Vice Pres.,Daniel Kablan DUNCAN
Croatia,Ambassador to the US,Pjer SIMUNOVIC
Croatia,Dep. Prime Min.,Damir KRSTICEVIC
Croatia,Dep. Prime Min.,Marija Pejcinovic BURIC
Croatia,Dep. Prime Min.,Predrag STROMAR
Croatia,"Governor, Croatian National Bank",Boris VUJCIC
Croatia,Min. of Admin.,Ivan KOVACIC
Croatia,Min. of Agriculture,Tomislav TOLUSIC
Croatia,Min. of Construction & Physical Planning,Lovro KUSCEVIC
Croatia,Min. of Culture,Nina OBULJEN
Croatia,Min. of Defense,Damir KRSTICEVIC
Croatia,Min. of Entrepreneurship & Trade,Martina DALIC
Croatia,Min. of Environmental & Nature Protection,Slaven DOBROVIC
Croatia,Min. of Finance,Zdravko MARIC
Croatia,Min. of Foreign & European Affairs,Marija PEJCINOVIC BURIC
Croatia,Min. of Health,Milan KUJUNDZIC
Croatia,Min. of Interior,Vlaho OREPIC
Croatia,Min. of Justice,Ante SPRLJE
Croatia,Min. of Labor & Pension System,Tomislav CORIC
Croatia,"Min. of Maritime Affairs, Transport, & Infrastructure",Oleg BUTKOVIC
Croatia,Min. of Regional Development & European Funds,Gabriella ZALAC
Croatia,"Min. of Science, Education, & Sports",Pavo BARISIC
Croatia,Min. of Social Welfare & Youth Policy,Nada MURGANIC
Croatia,Min. of Tourism,Gari CAPPELLI
Croatia,Min. of War Veterans,Tomislav MEDVED
Croatia,"Permanent Representative to the UN, New York",Vladimir DROBNJAK
Croatia,Pres.,Kolinda GRABAR-KITAROVIC
Croatia,Prime Min.,Andrej PLENKOVIC
Cuba,Attorney Gen.,Yamila PENA Ojeda
Cuba,"Dir., Cuban Radio & Television Institute",Alfonso NOYA Martinez
Cuba,"Dir., National Sports, Physical Education, & Recreation Institute",Antonio Eduardo BECALI Garrido
Cuba,"Dir., National Water Resources Institute",Antonio RODRIGUEZ Rodriguez
Cuba,"First Vice Pres., Council of Ministers",Salvador Antonio VALDES Mesa
Cuba,"First Vice Pres., Council of State",Salvador Antonio VALDES Mesa
Cuba,"Min. Sec., Council of State",Homero ACOSTA Alvarez
Cuba,Min. of Agriculture,Gustavo Luis RODRIGUEZ Rollero
Cuba,Min. of Communication,Jorge Luis PERDOMO Di-Lella
Cuba,Min. of Construction,Rene MESA Villafana
Cuba,Min. of Culture,Alpidio ALONSO Grau
Cuba,Min. of Domestic Trade,Betsy DIAZ Velazquez
Cuba,Min. of Economy & Planning,Alejandro GIL Fernandez
Cuba,Min. of Education,Ena Elsa VELAZQUEZ Cobiella
Cuba,Min. of Energy & Mines,Raul GARCIA Barreiro
Cuba,Min. of Finance & Prices,Lina PEDRAZA Rodriguez
Cuba,Min. of Foreign Relations,Bruno RODRIGUEZ Parrilla
Cuba,Min. of Foreign Trade & Investment,Rodrigo MALMIERCA Diaz
Cuba,Min. of Higher Education,Jose Ramon SABORIDO Loidi
Cuba,Min. of Industry,Alfredo LOPEZ Valdes
Cuba,Min. of Interior,"Julio Cesar GANDARILLA Bermejo, Vice Adm."
Cuba,Min. of Justice,Oscar Manuel SILVEIRA Martinez
Cuba,Min. of Labor & Social Security,Margarita Marlene GONZALEZ Fernandez
Cuba,Min. of Public Health,Jose Angel PORTAL Miranda
Cuba,"Min. of Science, Technology, & Environment",Elba Rosa PEREZ Montoya
Cuba,Min. of Tourism,Manuel MARRERO Cruz
Cuba,Min. of Transportation,Adel YZQUIERDO Rodriguez
Cuba,Min. of the Food Industry,Iris QUINONES Rojas
Cuba,Min. of the Revolutionary Armed Forces,"Leopoldo CINTRA FRIAS, Corps Gen."
Cuba,"Permanent Representative to the UN, New York",Anayansi RODRIGUEZ Camejo
Cuba,"Pres., Central Bank of Cuba",Irma Margarita MARTINEZ Castrillon
Cuba,"Pres., Council of Ministers",Miguel DIAZ-CANEL Bermudez
Cuba,"Pres., Council of State",Miguel DIAZ-CANEL Bermudez
Cuba,"Sec., Executive Ctte., Council of Ministers","Jose Amado RICARDO Guerra, Brig. Gen."
Cuba,"Vice Pres., Council of Ministers",Ines CHAPMAN Waugh
Cuba,"Vice Pres., Council of Ministers",Ramiro VALDES Menendez
Cuba,"Vice Pres., Council of Ministers",Ricardo CABRISAS Ruiz
Cuba,"Vice Pres., Council of Ministers",Roberto MORALES Ojeda
Cuba,"Vice Pres., Council of Ministers",Ulises ROSALES del Toro
Cuba,"Vice Pres., Council of State",Betriz JHONSON Urrutia
Cuba,"Vice Pres., Council of State",Gladys BEJERANO Portela
Cuba,"Vice Pres., Council of State",Ines CHAPMAN Waugh
Cuba,"Vice Pres., Council of State",Ramiro VALDES Menendez
Cuba,"Vice Pres., Council of State",Roberto MORALES Ojeda
Cyprus,Ambassador to the US,Leonidas PANTELIDIS
Cyprus,"Governor, Central Bank of Cyprus",Chrystallas GIORKATZI
Cyprus,"Min. of Agriculture, Natural Resources, & Environment",Kostas KADIS
Cyprus,"Min. of Commerce, Industry, & Tourism",Georgios LAKKOTRYPIS
Cyprus,Min. of Defense,Savvas ANGELIDIS
Cyprus,Min. of Education & Culture,Kostas CHAMBIAOURIS
Cyprus,Min. of Finance,Charis GEORGIADIS
Cyprus,Min. of Foreign Affairs,Nikos CHRISTODOULIDIS
Cyprus,Min. of Health,Konstantinos IOANNOU
Cyprus,Min. of Interior,Konstantinos PETRIDIS
Cyprus,Min. of Justice & Public Order,Ionas NIKOLAOU
Cyprus,Min. of Labor & Social Insurance,Zeta AIMILIANIDOU
Cyprus,"Min. of Transport, Communications, & Works",Vasiliki ANASTASIADOU
Cyprus,"Permanent Representative to the UN, New York",Kornilios KORNILIOU
Cyprus,Pres.,Nikos ANASTASIADIS
Czechia,Ambassador to the US,Hynek KMONICEK
Czechia,Dep. Prime Min.,Richard BRABEC
Czechia,First Dep. Prime Min.,Jan HAMACEK
Czechia,"Governor, Czech National Bank",Jiri RUSNOK
Czechia,Min. for Regional Development,Klara DOSTALOVA
Czechia,Min. of Agriculture,Miroslav TOMAN
Czechia,Min. of Culture,Antonin STANEK
Czechia,Min. of Defense,Lubomir METNAR
Czechia,"Min. of Education, Youth, & Sport",Robert PLAGA
Czechia,Min. of Finance,Alena SCHILLEROVA
Czechia,Min. of Foreign Affairs (acting),Jan HAMACEK
Czechia,Min. of Health,Adam VOJTECH
Czechia,Min. of Industry & Trade,Marta NOVAKOVA
Czechia,Min. of Justice,Tatana MALA
Czechia,Min. of Labor & Social Affairs,Petr KRCAL
Czechia,Min. of Transportation,Dan TOK
Czechia,Min. of the Environment,Richard BRABEC
Czechia,Min. of the Interior,Jan HAMACEK
Czechia,"Permanent Representative to the UN, New York",Maria CHATARDOVA
Czechia,Pres.,Milos ZEMAN
Czechia,Prime Min.,Andrej BABIS
Denmark,Ambassador to the US,Lars Gert LOSE
Denmark,"Chmn., Board of Governors, Danish National Bank",Lars ROHDE
Denmark,Min. for Children & Social Affairs,Mai MERCADO
Denmark,Min. for Culture & Ecclesiastical Affairs,Mette BOCK
Denmark,Min. for Development Cooperation,Ulla TORNAES
Denmark,Min. for Economics & the Interior,Simon Emil AMMITZBOLL
Denmark,Min. for Education,Merete RIISAGER
Denmark,Min. for Elder Affairs,Thyra FRANK
Denmark,Min. for Employment,Troels Lund POULSEN
Denmark,"Min. for Energy, Utilities, & Climate",Lars Christian LILLEHOLT
Denmark,Min. for Environment & Food,Jakob ELLEMANN-JENSEN
Denmark,Min. for Equality & Fisheries,Eva Kjer HANSEN
Denmark,Min. for Finance,Kristian JENSEN
Denmark,Min. for Foreign Affairs,Anders SAMUELSEN
Denmark,Min. for Health,Ellen Trane NORBY
Denmark,Min. for Higher Education & Science,Tommy AHLERS
Denmark,Min. for Immigration & Integration,Inger STOJBERG
Denmark,"Min. for Industry, Business, & Financial Affairs",Rasmus JARLOV
Denmark,Min. for Justice,Soren Pape POULSEN
Denmark,Min. for Public Innovation,Sophie LOHDE
Denmark,Min. for Taxation,Karsten LAURITZEN
Denmark,"Min. for Transport, Building, & Housing",Ole Birk OLESEN
Denmark,Min. of Defense,Claus Hjort FREDERIKSEN
Denmark,"Permanent Representative to the UN, New York",Ib PETERSEN
Denmark,Prime Min.,Lars Lokke RASMUSSEN
Denmark,Queen,MARGRETHE II
Djibouti,Ambassador to the US,Mohamed Siad DOUALEH
Djibouti,"Governor, Central Bank",Ahmed OSMAN Ali
Djibouti,"Min. of Agriculture, Livestock, & Fisheries",Mohamed Ahmed AWALEH
Djibouti,Min. of Budget,Bodeh Ahmed ROBLEH
Djibouti,Min. of Communication,Abdi Youssouf SOUGUEH
Djibouti,Min. of Defense,Ali Hassan BAHDON
Djibouti,Min. of Economy & Finance,Ilyas Moussa DAWALEH
Djibouti,Min. of Energy,"Yacin Houssein BOUH, Dr."
Djibouti,Min. of Foreign Affairs & Intl. Cooperation,Mahamoud Ali YOUSSOUF
Djibouti,"Min. of Habitat, Urban Planning, & Environment",Moussa Mohamed AHMED
Djibouti,Min. of Health,"Djama Elmi OKIEH, Dr."
Djibouti,Min. of Higher Education & Research,"Nabil Mohamed AHMED, Dr."
Djibouti,Min. of Infrastructure & Transport,Moussa Ahmed HASSAN
Djibouti,Min. of Interior,Hassan Omar Mohamed BOURHAN
Djibouti,"Min. of Islamic Affairs, Culture, & Charitable Assets",Moumin Hassan BARREH
Djibouti,Min. of Justice & Penal Affairs,Moumin Ahmed CHEIKH
Djibouti,Min. of Labor,Hassan Idriss SAMRIEH
Djibouti,Min. of National Education & Professional Training,Moustapha Mohamed MAHAMOUD
Djibouti,Min. of Women & the Family,Moumina Houmed HASSAN
Djibouti,"Permanent Representative to the UN, New York",Mohamed Siad DOUALEH
Djibouti,Pres.,Ismail Omar GUELLEH
Djibouti,Prime Min.,Abdoulkader Kamil MOHAMED
Dominica,Attorney Gen.,Levi PETER
Dominica,Dep. Prime Min.,Reginald AUSTRIE
Dominica,Min. in the Ministry of Housing and Lands,Johnson DRIGO
Dominica,"Min. of Agriculture, Food, & Fisheries",Reginald AUSTRIE
Dominica,"Min. of Commerce, Enterprise, & Small Business Development",Roselyn PAUL
Dominica,"Min. of Ecclesiastical Affairs, Family, & Gender Affairs",Catherine Lady DANIEL
Dominica,Min. of Education & Human Resource Development,Petter Saint-JEAN
Dominica,"Min. of Finance, Investments, Housing, & Lands",Roosevelt SKERRIT
Dominica,Min. of Foreign Affairs & Caricom Affairs,Francine BARON
Dominica,Min. of Health & Social Services,Kenneth DARROUX
Dominica,"Min. of Information, Science, Telecommunication, & Technology",Kelver DARROUX
Dominica,"Min. of Justice, Immigration, & National Security",Rayburn BLACKMOORE
Dominica,Min. of Kalinago Affairs,Casius DARROUX
Dominica,Min. of Planning & Economic Development,Miriam BLANCHARD
Dominica,"Min. of Public Works, Water Resource Management, & Ports",John Collin MCINTYRE
Dominica,Min. of Tourism & Culture,Robert TONGE
Dominica,"Min. of Trade, Energy, & Employment",Ian DOUGLAS
Dominica,"Min. of Youth, Sports, Culture, & Constituency Empowerment",Justina CHARLES
Dominica,"Min. of the Environment, Climate Resilience, Disaster Management, & Urban Renewal",Joseph ISAAC
Dominica,Parliamentary Sec. in the Min. of Health & Social Services,Ivor STEPHENSON
Dominica,"Permanent Representative to the UN, New York",Loreen Ruth BANNIS-ROBERTS
Dominica,Pres.,Charles SAVARIN
Dominica,Prime Min.,Roosevelt SKERRIT
Dominican Republic,Admin. Sec. of the Presidency,Jose Ramon PERALTA Sanchez
Dominican Republic,Ambassador to the US,Jose Tomas PEREZ Vazquez
Dominican Republic,Attorney Gen.,Jean Alain RODRIGUEZ
Dominican Republic,"Governor, Central Bank",Hector VALDEZ Albizu
Dominican Republic,Min. of Agriculture,Osmar BENITEZ
Dominican Republic,Min. of Culture,Eduardo SELMAN
Dominican Republic,Min. of Defense,"Ruben Dario Paulino SEM, Maj. Gen."
Dominican Republic,"Min. of Economy, Planning, & Development",Isidoro SANTANA
Dominican Republic,Min. of Education,Andres NAVARRO Garcia
Dominican Republic,Min. of Energy & Mines,Antonio ISA CONDE
Dominican Republic,Min. of Finance,Donald GUERRERO Ortiz
Dominican Republic,Min. of Foreign Affairs,Miguel Octavio VARGAS Maldonado
Dominican Republic,"Min. of Higher Education, Science, & Technology",Andres NAVARRO Garcia
Dominican Republic,Min. of Industry & Commerce,Nelson TOCA Simo
Dominican Republic,Min. of Interior & Police,Jose Ramon FADUL Fadul
Dominican Republic,Min. of Labor,Winston Antonio SANTOS Urena
Dominican Republic,Min. of Public Admin.,Manuel Ramon VENTURA CAMEJO
Dominican Republic,Min. of Public Health & Social Welfare,Rafael SANCHEZ Cardenas
Dominican Republic,Min. of Public Works & Communications,Gonzalo CASTILLO Terrero
Dominican Republic,Min. of Sports,Danilo DIAZ
Dominican Republic,Min. of Tourism,Francisco Javier GARCIA Fernandez
Dominican Republic,Min. of Women,Janet Altagracia CAMILO Hernandez
Dominican Republic,Min. of Youth,Jorge Felix MINAYA Contreras
Dominican Republic,Min. of the Environment & Natural Resources,Angel Francisco ESTEVEZ Bourdierd
Dominican Republic,Min. of the Presidency,Gustavo Adolfo MONTALVO Franco
Dominican Republic,"Permanent Representative to the UN, New York",Francisco Antonio CORTORREAL
Dominican Republic,Pres.,Danilo MEDINA Sanchez
Dominican Republic,Vice Pres.,Margarita CEDENO DE FERNANDEZ
Ecuador,Ambassador to the US,Francisco CARRION Mena
Ecuador,Legal Sec. Gen.,Johana PESANTEZ Benitez
Ecuador,Min. of Agriculture,Ruben FLORES Agreda
Ecuador,Min. of Aquaculture,Ana Katuska DROUET Salcedo
Ecuador,Min. of Culture,Raul PEREZ Torres
Ecuador,Min. of Economic & Social Inclusion,Berenice CORDERO Molina
Ecuador,Min. of Education,Milton LUNA Tamayo
Ecuador,Min. of Energy & Non-Renewable Natural Resources,Carlos PEREZ Garcia
Ecuador,Min. of Environment,Marcelo MATA Guerrero
Ecuador,Min. of Finance,Richard MARTINEZ
Ecuador,Min. of Foreign Relations & Integration,Jose VALENCIA Amores
Ecuador,Min. of Foreign Trade & Investment,Pablo CAMPANA Saenz
Ecuador,Min. of Govt.,Maria Paula ROMO Rodriguez
Ecuador,Min. of Industry & Competitiveness,Eva GARCIA Fabre
Ecuador,Min. of Labor Relations,Raul LEDESMA Huerta
Ecuador,Min. of National Defense,Oswaldo JARRIN Roman
Ecuador,Min. of Public Health,Maria Veronica ESPINOSA Serrano
Ecuador,Min. of Sports,Andrea SOTOMAYOR Andrade
Ecuador,Min. of Telecommunication & Information,Guillermo Hernando LEON Santacruz
Ecuador,Min. of Tourism,Rosi PRADO DE HOLGUIN
Ecuador,Min. of Transportation & Public Works,Boris PALACIOS Vasquez
Ecuador,Min. of Urban Development & Housing,German TORRES
Ecuador,National Sec. of Communication,Andres MICHELENA Ayala
Ecuador,National Sec. of Public Admin.,Jose AGUSTO Briones
Ecuador,"Permanent Representative to the UN, New York",Luis GALLEGOS Chiriboga
Ecuador,Personal Sec. of the Presidency,Juan Sebastian ROLDAN Proano
Ecuador,Pres.,Lenin MORENO Garces
Ecuador,"Pres., Central Bank",Veronica ARTOLA Jarrin
Ecuador,Sec. Gen. of the Presidency,Eduardo JURADO Bejar
Ecuador,"Sec. of Education, Science, & Technology",Adrian BONILLA Soria
Ecuador,Sec. of Intelligence,Marlo BRITO Pacifico
Ecuador,Sec. of Risk Management,Maria Alexandra OCLES Padilla
Ecuador,Sec. of Water,Humberto CHOLANGO Tipanluisa
Ecuador,Vice Pres.,Jose Agusto BRIONES (acting)
Egypt,Ambassador to the US,Yasser REDA
Egypt,"Governor, Central Bank of Egypt",Tarek AMER
Egypt,Min. of Agriculture & Land Reclamation,"Ezzeldin Omar ABUSTEIT, Dr."
Egypt,Min. of Antiquities & Heritage,"Khaled El-Enany EZZ, Dr."
Egypt,Min. of Civil Aviation,"Younis AL-MASRY, Lt. Gen."
Egypt,Min. of Communications & Information Technology,"Amr Ahmed TALAAT, Dr."
Egypt,Min. of Culture,"Enas ABDEL-DAYEM, Dr."
Egypt,Min. of Defense,"Mohamed Ahmed ZAKI, Lt. Gen."
Egypt,Min. of Education & Technical Education,"Tarek SHAWKY, Dr."
Egypt,Min. of Electricity & Renewable Energy,Mohamed SHAKER
Egypt,Min. of Environment,Yasmine Abdel Aziz FUAD
Egypt,Min. of Finance,"Mohamed MAAIT, Dr."
Egypt,Min. of Foreign Affairs,Sameh SHOUKRY
Egypt,Min. of Health & Population,"Halah ZAYED, Dr."
Egypt,Min. of Higher Education & Scientific Research,"Khaled ABDEL-GHAFFAR, Dr."
Egypt,"Min. of Housing, Utilities, & Urban Development",Moustafa MADBOULY
Egypt,Min. of Industry & Trade,Amr Adel BAYOUMY
Egypt,Min. of Interior,Mahmud TAWFIQ
Egypt,Min. of Investment & Intl. Cooperation,"Sahar NASR, Dr."
Egypt,Min. of Irrigation & Water Resources,"Mohamed ABDEL-AATI, Dr."
Egypt,Min. of Justice,Mohamed Hossam ABDEL-REHIM
Egypt,Min. of Legal & Parliamentary Affairs,Omar MARAWAN
Egypt,Min. of Local Development,"Mahmud SHARAWY, Gen."
Egypt,Min. of Manpower,Mohamed SAAFAN
Egypt,Min. of Military Production,"Mohamed EL-ASSAR, Maj. Gen."
Egypt,Min. of Petroleum,Tarek EL-MULLAH
Egypt,"Min. of Planning, Monitoring, & Admin. Reform",Hala El-Said YOUNIS
Egypt,Min. of Public Enterprise Sector,Hisham TAWFIK
Egypt,Min. of Religious Endowments,Mukhtar GOMAA
Egypt,Min. of Social Solidarity,Ghada WALY
Egypt,Min. of State for Immigration & Egyptian Expatriate Affairs,Nabila MAKRAM
Egypt,Min. of Supply & Internal Trade,"Ali MOSELHY, Dr."
Egypt,Min. of Tourism,"Rania ABDEL MONIM, Dr."
Egypt,Min. of Transportation,Hisham MAHDY
Egypt,Min. of Youth & Sports,Ashraf SOBHY
Egypt,"Permanent Representative to the UN, New York",Muhammad EDREES
Egypt,Pres.,Abdelfattah ELSISI
Egypt,Prime Min.,"Mostafa MADBOULY, Dr."
El Salvador,Ambassador to the US,Claudia Ivette CANJURA de Centeno
El Salvador,Attorney Gen.,Douglas MELENDEZ Ruiz
El Salvador,Min. of Agriculture & Livestock,Orestes Fredesman ORTEZ Andrade
El Salvador,Min. of Defense,"David MUNGUIA Payes, Gen."
El Salvador,Min. of Economy,Luz Estrella RODRIGUEZ
El Salvador,Min. of Education,Carlos Mauricio CANJURA Linares
El Salvador,Min. of Environment & Natural Resources,Lina Dolores POHL Alfaro
El Salvador,Min. of Finance,Nelson FUENTES
El Salvador,Min. of Foreign Relations,Carlos CASTANEDA
El Salvador,Min. of Govt.,Ramon Aristides VALENCIA Arana
El Salvador,Min. of Health,Elvia Violeta MENJIVAR Escalante
El Salvador,Min. of Justice & Public Security,Mauricio RAMIREZ LANDAVERDE
El Salvador,Min. of Labor & Social Welfare,Sandra Eribel GUEVARA Perez
El Salvador,Min. of Public Works,Eliud Ulises AYALA Zamora
El Salvador,Min. of Tourism,Jose Napoleon DUARTE Duran
El Salvador,"Permanent Representative to the UN, New York",Ruben Armando ESCALANTE Hasbun
El Salvador,Pres.,Salvador SANCHEZ CEREN
El Salvador,"Pres., Central Reserve Bank",Oscar CABRERA Melgar
El Salvador,Vice Pres.,Salvador Oscar ORTIZ
Equatorial Guinea,Ambassador to the US,Miguel Ntutumu EVUNA ANDEME
Equatorial Guinea,First Vice Prime Min. in Charge of Political Sector,Clemente Engonga NGUEMA Onguene
Equatorial Guinea,Min. Sec. Gen. of the Presidency,Baltasar Esono Eworo NFONO
Equatorial Guinea,"Min. of Agriculture, Livestock, Forestry, & Environment",Nicolas Houtondji AKAPO
Equatorial Guinea,Min. of Civil Aviation,Leandro MIKO Angue
Equatorial Guinea,Min. of Commerce,Pastor Micha ONDO Bile
Equatorial Guinea,Min. of Culture & Artisanal Promotion,Rufino Ndong ESONO Nchama
Equatorial Guinea,"Min. of Economy, Planning, & Investments",Eucario Bakale ANGUE
Equatorial Guinea,"Min. of Education, University Studies, & Sports",Jesus Engonga NDONG
Equatorial Guinea,"Min. of Finance, Economy, & Planning",Lucas ABAGA Nchama
Equatorial Guinea,Min. of Fisheries & Water Resources,Adoracion Salas CHONKO
Equatorial Guinea,Min. of Foreign Affairs & Cooperation,Simeon Oyono ESONO Angue
Equatorial Guinea,Min. of Health & Social Welfare,Salomon NGUMA Owono
Equatorial Guinea,Min. of Industry & Energy,Miguel EKUA Ondo
Equatorial Guinea,"Min. of Information, Press,  & Radio",Eugenio Nze OBIANG
Equatorial Guinea,"Min. of Justice, Cult, & Penitentiary Institutions",Salvador ONDO Nkumu
Equatorial Guinea,"Min. of Labor, Work Foment, & Social Security",Celestino Bonifacio Bakale OBIANG
Equatorial Guinea,Min. of Mines & Hydrocarbons,Gabriel Mbega Obiang LIMA
Equatorial Guinea,Min. of National Defense,Alejandro Bakale NKOGO
Equatorial Guinea,Min. of Public Admin.,Faustino NDONG Esono Eyang
Equatorial Guinea,"Min. of Public Works, Housing, & Urbanism",Diosdado NSUE Medja
Equatorial Guinea,Min. of Social Affairs & Gender Equality,Maria Consuelo Nguema OYANA
Equatorial Guinea,Min. of State for National Security,Nicolas OBAMA Nchama
