position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
51,51,Che Jianxing,Che,che-jianxing,che-jianxing,4300,52,furniture retailing,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5bcf9ff94bbe6f78bda59ecb/416x416.jpg?background=000000&cropX1=637&cropX2=1963&cropY1=16&cropY2=1342
52,51,Jiang Weiping,Jiang,jiang-weiping,jiang-weiping,4300,63,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/562e57f2e4b0ffa7afe645f1/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=113&cropY2=854
53,51,Li Gaiteng,Li,li-gaiteng,no-pic,4300,46,hair dryers,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a904c9d4bbe6f0fa8265ebe/416x416.jpg?background=000000&cropX1=26&cropX2=321&cropY1=38&cropY2=333
54,54,Liang Wengen,Liang,liang-wengen,liang-wengen,4200,62,construction equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5bcfb22331358e5b43344b70/416x416.jpg?background=000000&cropX1=333&cropX2=3784&cropY1=7&cropY2=3456
55,55,Ji Changqun,Ji,ji-changqun-1,no-pic,4150,51,real estate,Real Estate,M,
56,56,Zhou Jianping,Zhou,zhou-jianping,zhou-jianping,4140,58,fashion retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a7d28f24bbe6f2652f512b4/416x416.jpg?background=000000&cropX1=0&cropX2=677&cropY1=39&cropY2=716
57,57,Cai Kui,Cai,cai-kui,cai-kui,4100,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/561fbcbde4b0ffa7afe5e581/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=0&cropY2=744
58,57,Wang Yusuo,Wang,wang-yusuo,wang-yusuo,4100,54,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/5bcfa0c331358e5b43344915/416x416.jpg?background=000000&cropX1=681&cropX2=3615&cropY1=13&cropY2=2945
59,59,Wang Xing,Wang,wang-xing,wang-xing,4050,45,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf9ab74bbe6f78bda59e61/416x416.jpg?background=000000&cropX1=331&cropX2=859&cropY1=244&cropY2=772
60,60,Ye Chenghai,Ye,ye-chenghai,ye-chenghai,4000,75,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/f4143f928bec51caf481ad44beb7d878/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=180&cropY2=923
61,60,Zhang Yiming,Zhang,zhang-yiming,no-pic,4000,35,software,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf95eb4bbe6f78bda59d93/416x416.jpg?background=000000&cropX1=1292&cropX2=4301&cropY1=738&cropY2=3744
62,62,Ke Zunhong,Ke,ke-zunhong,no-pic,3980,64,pharmaceuticals,Healthcare,M,http://specials-images.forbesimg.com/imageserve/5809454531358e238315e7e0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=174&cropY2=918
63,63,Fang Wei,Fang,fang-wei,no-pic,3900,45,steel,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5bcfac644bbe6f78bda5a08f/416x416.jpg?background=000000&cropX1=49&cropX2=3382&cropY1=119&cropY2=3455
64,64,Jiang Rensheng,Jiang,jiang-rensheng,jiang-rensheng,3850,65,vaccine production,Healthcare,M,//specials-images.forbesimg.com/imageserve/3bd114f40e9f923fc68db540a5f793e5/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=32&cropY2=775
65,65,Cao Longxiang,Cao,cao-longxiang,no-pic,3820,61,pharmaceuticals,Healthcare,M,http://specials-images.forbesimg.com/imageserve/56c68eb1e4b062f6b59a1458/416x416.jpg?background=000000&cropX1=159&cropX2=634&cropY1=305&cropY2=780
