name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Wen Yibo,Wen,wen-yibo,wen-yibo,1.822,wastewater treatment,Service,M,China,1547574901334,1096.056,1902,1902,//specials-images.forbesimg.com/imageserve/5a7d08c7a7ea431690130db0/416x416.jpg?background=000000&cropX1=823&cropX2=3492&cropY1=0&cropY2=2667
Vadim Yakunin,Yakunin,vadim-yakunin,no-pic,,pharmacy,Healthcare,M,Russia,1538748769127,,,,//specials-images.forbesimg.com/imageserve/58a272a9a7ea431f32197514/416x416.jpg?background=000000&cropX1=72&cropX2=744&cropY1=84&cropY2=756
Yang Zhimao,Yang,yang-zhimao,no-pic,,"utilities, real estate",Diversified,M,China,1519935304358,,,,
Gavril Yushvaev,Yushvaev,gavril-yushvaev,gavril-yushvaev,3.165,"precious metals, real estate",Finance and Investments,M,Russia,1547574901334,1393.126,1584,1584,//specials-images.forbesimg.com/imageserve/5a80a54fa7ea431690133afd/416x416.jpg?background=000000&cropX1=31&cropX2=790&cropY1=43&cropY2=801
Zeng Kaitian,Zeng,zeng-kaitian,no-pic,,online games,Technology,M,China,1518125534825,,,,
Zhang Anqiang,Zhang,zhang-anqiang,no-pic,,software,Technology,M,Hong Kong,1518126119563,,,,
Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,25.144,advanced ceramics,Manufacturing,M,China,1547574901334,1107.899,1887,1887,
Zhang Xinghai,Zhang,zhang-xinghai,no-pic,,machinery,Manufacturing,M,China,1519935402431,,,,//specials-images.forbesimg.com/imageserve/5a7d23ac4bbe6f2652f51271/416x416.jpg?background=000000&cropX1=4&cropX2=1645&cropY1=43&cropY2=1684
Zhang Xiugen,Zhang,zhang-xiugen,no-pic,0,automobiles,Automotive,M,China,1547574901333,2063.036,1122,1122,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=2&cropY2=688
Zhang Yue,Zhang,zhang-yue-2,no-pic,,air conditioning,Manufacturing,M,China,1518126091515,,,,//specials-images.forbesimg.com/imageserve/eeb58b5eec25fe4c1bc4227f1d4f931f/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=58&cropY2=799
