Rank,Name,Total_net_worth,Country,Industry
289,Leon Black,$5.42B,United States,Finance
290,Arthur Irving,$5.41B,Canada,Energy
291,Zhang Jindong,$5.40B,China,Retail
292,Philip Ng,$5.36B,Singapore,Real Estate
293,Charles Dolan,$5.34B,United States,Media & Telecom
294,Sultan Al Kabeer,$5.32B,Saudi Arabia,Consumer
295,John Sall,$5.31B,United States,Technology
296,Terry Pegula,$5.31B,United States,Energy
297,Diane Hendricks,$5.30B,United States,Services
298,Shari Arison,$5.29B,Israel,Diversified
299,Robert Ng,$5.26B,Singapore,Real Estate
300,Zhang Bangxin,$5.24B,China,Services
301,JK Irving,$5.19B,Canada,Commodities
302,Lynn Schusterman,$5.19B,United States,Energy
303,Micree Zhan,$5.19B,China,Technology
304,Benu Gopal Bangur,$5.18B,India,Commodities
305,Ermirio de Moraes,$5.12B,Brazil,Commodities
306,Jeff Sutton,$5.11B,United States,Real Estate
307,Maria Helena Moraes,$5.09B,Brazil,Industrial
308,Ronda Stryker,$5.09B,United States,Health Care
309,Kim Jungju,$5.08B,"Korea, Republic of",Technology
310,Richard Branson,$5.08B,United Kingdom,Diversified
311,Margarita Louis-Dreyfus,$5.07B,Switzerland,Commodities
312,Bidzina Ivanishvili,$5.07B,Georgia,Diversified
313,Tan Kim Choo,$5.06B,Singapore,Real Estate
314,Stan Druckenmiller,$5.06B,United States,Finance
315,Izzy Englander,$5.05B,United States,Finance
316,David Shaw,$5.03B,United States,Finance
317,Wolfgang Marguerre,$4.98B,Germany,Health Care
318,Lucio Tan,$4.97B,Philippines,Diversified
319,Leonard Stern,$4.97B,United States,Real Estate
320,Tamara Hughes Gustavson,$4.97B,United States,Services
321,Jack Dorsey,$4.96B,United States,Technology
322,Tilman Fertitta,$4.94B,United States,Entertainment
323,Alexander Otto,$4.94B,Germany,Real Estate
324,Cai Kui,$4.94B,China,Real Estate
325,Xavier Niel,$4.91B,France,Technology
326,Quek Leng Chan,$4.91B,Malaysia,Diversified
327,Ivan Glasenberg,$4.90B,Australia,Commodities
328,Dennis Washington,$4.90B,United States,Industrial
329,Lee Shin Cheng,$4.89B,Malaysia,Commodities
330,Yasumitsu Shigeta,$4.88B,Japan,Media & Telecom
331,Naguib Sawiris,$4.87B,Egypt,Media & Telecom
332,David Thomson,$4.84B,Canada,Media & Telecom
333,Jeff Skoll,$4.82B,Canada,Technology
334,Nancy Walton Laurie,$4.80B,United States,Retail
335,Francis Choi,$4.78B,Hong Kong,Real Estate
336,Vincent Bollore,$4.78B,France,Diversified
337,Kenneth Dart,$4.77B,Cayman Islands,Finance
338,Dhanin Chearavanont,$4.77B,Thailand,Retail
339,Lino Saputo,$4.76B,Canada,Food & Beverage
340,Trevor Rees-Jones,$4.75B,United States,Energy
